protein1	protein2
672	4215
8399	161742
5307	57088
10653	78994
6303	353134
54840	64061
3927	51741
427	63928
1432	6711
23601	345778
189	9404
79571	146198
29079	54820
1427	10742
1472	2289
7454	50618
2010	126868
115209	255809
23038	55603
1443	6447
8227	10921
22980	117144
6541	56935
525	9296
3198	3972
22913	56949
30837	83741
9402	10535
4853	23598
4801	6883
6258	7376
10169	92140
6622	6996
6310	345274
58524	81851
3614	9673
9463	64926
2064	55359
3183	129831
23549	28988
27185	51386
51643	54726
2840	9183
10687	80153
133746	440295
1642	7133
8106	11097
6049	9851
2962	10169
9462	51307
5290	5295
5723	51657
158506	375791
363	55017
143684	386680
51107	170575
6638	11193
2040	344892
6204	441502
351	9765
79682	122509
79039	79159
9960	23504
5521	6279
54951	133923
8260	57333
23173	79797
10921	23513
5565	6938
146956	158160
51575	56849
3849	159195
1956	5787
54919	55002
2195	2248
9901	23592
9921	55284
9459	64411
25979	219541
481	27037
27185	729540
64342	161742
5468	5925
137209	387923
9020	79155
59349	84708
26121	79809
54887	84300
3236	8533
1615	406985
23557	54550
79165	284756
8241	10432
839	343263
7322	64219
2355	80204
2885	54058
6455	23176
4853	7586
9818	644186
3832	9810
9144	163183
5708	90007
1499	80298
4292	55138
9716	10921
5351	8985
9463	54676
55145	222389
22981	27301
10644	406900
4236	117178
6821	139422
3006	123169
29914	92359
6310	6628
1962	66037
412	11194
92935	148823
1401	5802
55240	199223
1796	3055
6857	80331
3009	10004
10311	54939
5333	54808
9732	54940
5268	55014
4723	4729
119	6299
79585	140459
4820	25873
8702	445571
51160	285753
57819	84708
5936	406982
4089	7743
6948	58480
1600	5048
23028	51538
648	2274
6430	90480
140290	170082
6571	9026
64776	113878
1457	7515
10236	406887
51096	641384
5581	124220
10618	80005
9516	284996
23451	406984
6310	55251
85441	266971
8844	54477
56160	146434
2882	144717
7525	23299
6311	23185
7023	9507
26206	283948
2997	58986
8346	57585
1026	9134
23493	401546
120114	280657
57713	64061
4791	55922
2534	91179
439	11272
79370	115265
6139	170506
5326	55346
6777	63951
8641	51635
8715	55758
5252	27185
6777	203102
81706	339512
2064	53358
55885	196528
2200	6314
1642	27130
26058	114880
11052	406981
5887	220213
9076	408263
6182	28977
1329	10211
2962	79169
114818	201501
902	1488
7341	11168
351	80207
23647	133022
5987	63893
6426	7570
6631	55608
983	4194
4188	414059
599	637
26574	55226
3897	5361
2202	51162
4259	10559
2014	6398
23201	80204
9641	23760
1398	340542
4188	90355
9532	55833
10917	23065
5593	27031
2530	152519
5770	90407
11148	337967
27287	56006
246100	283208
4093	8761
2139	63904
54951	83548
9911	60681
5528	78994
7782	27065
5595	10395
23371	284346
9135	10971
1628	1649
23126	113878
3249	7078
10900	29844
5439	55132
2139	80256
7132	8290
7431	57120
2273	3910
1468	1472
10516	57615
3312	113746
7039	129401
51295	81629
2042	6732
6434	407048
9319	23786
351	5599
10420	57706
5966	112399
5911	11069
406	284119
2885	11140
4163	50944
79862	149603
669	4688
113878	222546
9646	192670
1488	5629
81502	84126
58524	448834
1457	2073
1912	5441
6899	266971
1019	5226
4188	154881
10794	55316
5476	135932
8517	84875
3688	22918
254950	283948
84918	387837
1141	10385
57639	117177
810	11004
60528	63891
7920	57414
4430	7184
2832	386674
1111	51133
25840	155368
2516	100288711
1026	10381
5268	79728
3676	3688
372	9817
689	119710
4736	6734
10228	284996
90480	91624
10252	50628
4601	56969
9223	51307
51142	55274
5728	10147
301	151230
55959	494119
638	664
10252	81850
29942	144108
2036	6733
1081	4087
11059	652968
4920	285311
6925	7678
7529	9759
6908	136227
9223	11346
4350	25996
4841	11193
29922	440050
6339	150684
22993	27185
701	996
9871	10011
10236	406906
3801	115106
10432	406890
1455	10087
25	6733
5465	7918
79694	284217
26090	219348
79799	574537
9378	54413
10682	64776
38	4350
26127	84231
84918	347730
8887	29079
51361	84376
30834	221830
2638	345651
9463	84313
51121	56829
9128	10471
204	150864
2188	3280
6727	112939
65062	347741
3127	8087
10289	10726
4170	55741
26020	344022
9555	55506
88	7982
4543	474384
11043	84823
22929	54978
6853	10456
5519	54764
10134	51024
3661	23376
5664	23429
1856	2630
10314	23158
5577	9495
5605	664618
26121	65243
11243	51003
2585	59345
347	2358
9637	27037
6770	23126
2253	10885
1017	51514
10720	200081
4887	64755
60	254427
11277	440400
1601	4690
2066	5794
9560	162427
6430	29088
4005	23623
207	5395
22827	407043
54825	57380
1292	404552
605	2934
159989	162605
65018	92483
23063	55602
7532	79734
8624	170626
7322	57162
3512	286410
4313	4543
5524	116443
1025	4605
6135	25976
131616	140578
2258	9875
5987	342371
85302	159989
386653	440138
2547	9709
515	9830
1643	8533
5058	9641
23028	84456
9271	23386
1318	10268
5534	60680
9246	64320
57175	135295
3014	5599
3441	6184
7531	84080
4720	4722
3309	3423
3480	10938
54732	79039
5728	6385
6143	64976
6602	9500
5894	256281
3880	8646
161291	283659
7532	10045
1994	5328
4943	11337
246100	402381
10971	11284
64118	375791
26259	79862
6168	84811
3710	7222
6132	8575
6659	8721
9500	25902
3964	4238
7529	7531
573	474382
23031	23367
875	5571
257	5396
51274	256227
80306	81857
773	3912
5584	56288
1892	5036
9737	23557
3609	51191
51501	282617
22864	84970
5594	7054
3930	23468
6143	6209
53820	123745
1946	84000
10002	162989
83755	353139
9015	55216
248	251
9730	51318
7227	57673
51728	401541
4920	284325
84872	130074
54474	386681
10870	55027
2113	54680
4854	51162
6642	221481
54439	55766
4188	199834
6785	30836
1654	165918
115265	120379
9429	9522
7448	30815
5359	284440
7917	9131
1000	25831
4240	387837
51073	57129
3716	55250
382	79624
63978	353144
9816	9993
23543	574411
2615	7040
2993	149371
5521	440686
994	135295
10971	51421
3659	3661
10668	148066
6318	53820
3183	23608
5784	23380
8335	55705
64426	83463
10452	23130
1459	5127
79637	79869
7103	147407
5663	6767
367	7525
23102	23710
2041	11072
9141	55593
7283	8774
274	26750
10472	57621
7675	57786
2965	54462
54903	138307
11170	284001
2669	9500
2289	728116
3249	25825
337978	353139
605	55274
688	8462
8688	161514
2176	55294
51513	59272
4711	51282
5966	83593
360	91137
30836	440563
64785	84296
7051	26052
2104	79922
85025	339302
6934	7329
5890	56905
6881	80854
6256	10062
54870	84290
1540	9212
22955	57713
84967	406903
83878	284904
92104	200894
207	5599
8864	50514
29763	353323
57062	389421
917	7348
9564	23645
6627	84844
78987	91137
976	4709
5111	84875
4000	128653
6774	55916
54478	54902
55005	140578
2267	55907
4149	57215
7314	160760
10056	79019
663	163087
51574	407042
7532	83896
11173	338328
9975	84675
25	26052
4110	55619
3306	283643
25930	55165
2801	11077
1398	2002
9451	79701
1655	3190
8842	27230
23673	51300
6218	388524
23421	55166
51293	55016
396	51569
29954	645104
7204	51816
818	4702
7321	25855
6449	147650
11151	84231
10599	80097
2908	55644
824	6773
10382	153918
1398	51741
4038	80778
10717	79177
4736	112840
23582	64965
4146	27069
5204	9128
54535	84807
85294	147744
9569	55827
5530	10231
2740	6288
10078	54386
29098	58488
64342	118429
547	10728
163	91419
8516	255743
10158	117286
7021	7532
387	55611
90874	386680
7375	9470
6565	57088
262	54878
79726	652968
8425	85358
5473	6372
3009	79747
3009	11064
79727	406890
7286	55885
22806	55633
220988	406982
22906	55140
2324	4734
54906	80125
356	1398
9055	89953
6528	391123
23136	116835
116412	340419
9644	9846
310	170959
27185	203068
84897	116225
983	3018
52	7428
8776	266971
26206	51162
2885	3667
381	57291
1859	5567
8208	8368
4005	58490
166	6598
2036	124245
3162	57017
4988	7104
4088	150483
116071	613212
6103	261734
4223	4314
3603	11043
84616	100996717
4869	64794
1387	9616
10537	10600
4793	25901
5300	283152
2867	57228
274	79842
5279	11244
2091	23178
9570	10904
3980	6118
64983	79727
5957	10084
9075	81850
1263	79682
3106	5707
3039	3048
10513	85465
144404	203286
28964	51593
1828	7311
29982	64081
2124	27065
29781	84376
26277	80007
26232	79867
23555	100507537
64184	408263
9918	10552
5966	55662
143	4088
5610	406882
57709	84272
10236	406890
4005	386675
2275	171483
351	5993
84331	124801
6431	51023
860	3725
2805	195814
6605	9463
1785	9618
1173	51172
2010	4001
29844	284119
4140	23332
9328	9330
8624	145946
4809	6607
23641	54913
3265	51444
1937	55068
29777	64282
27185	126731
5357	51527
7140	54413
2908	8350
65220	90362
10928	51693
4627	7133
79656	353142
1340	84701
10142	84970
533	7531
3189	407043
6401	57159
4101	83658
8290	9693
6558	84885
5918	65986
51614	338692
166	6457
7316	153830
10575	92140
7046	161291
2036	8546
8723	23204
57325	83899
15	337879
7014	29903
401	3725
1562	5663
51780	442247
54886	115992
5987	170954
10422	23327
3801	256126
5616	10654
8417	162427
5708	200424
5705	6256
468	7052
6137	84872
81850	84330
84648	85289
1455	51752
1902	22937
4017	28663
8682	219402
2058	407047
26020	113201
961	200634
6304	11177
5080	197407
7086	440275
57348	84920
55588	221504
4543	9741
2057	6776
8712	84306
9532	22848
9135	157570
661	23543
11222	79727
4000	5354
7743	57109
11231	23612
5499	22809
351	23071
1399	64418
1044	26057
51075	64801
7278	9111
27095	81551
10971	83481
2835	9409
7718	85294
4893	8789
4678	8356
6883	23326
9194	342132
351	27145
6714	9101
26330	126074
88	91949
22938	55768
2197	85364
79869	406933
7407	388135
5335	56341
5966	25885
351	84946
54906	287015
3010	10514
4905	8775
54069	92154
149466	728932
10099	283870
6139	55132
6821	83550
9639	445571
2077	6746
832	246175
6621	9810
114928	146542
9931	26751
545	9138
351	8165
27350	317781
6733	162394
56893	121506
6626	400258
1759	80208
10127	374618
4985	56475
10311	57020
9230	26056
7320	23352
57348	202052
6570	10328
4798	5702
9513	91156
3803	81839
3689	171482
7702	29974
9968	81858
23196	23369
158056	100101267
10471	54535
2932	6256
719	7905
4223	341567
5252	79444
23555	93185
6396	11097
9223	57530
23281	92999
6310	9900
8546	9725
29781	401152
9218	153579
1981	5062
1387	6929
10269	55697
7920	23428
5034	57542
7157	7444
3399	6602
5571	130340
51545	85376
6167	29117
2039	91039
10492	407054
3006	5578
6814	10728
79411	641517
996	1163
7919	28996
7745	10524
6839	79005
8125	8290
4233	11186
351	54884
3359	8878
4212	4713
55187	203562
3185	84807
11143	79960
9772	57574
1831	7329
5549	55128
9817	79728
147687	147700
5746	10376
4329	84142
3055	4000
56894	65977
26750	201627
7009	386675
10210	51619
3934	5307
8776	51050
1058	1060
1653	574032
10897	386676
1457	7343
1215	2588
6829	23746
4849	85456
672	5715
90933	115950
23731	27076
25879	84078
2150	10559
80777	257019
2070	55665
834	114769
6570	115704
9194	23513
3065	7153
3032	54819
9112	54478
56904	56915
2199	2202
3362	11154
25906	64682
9093	85358
8350	9971
3803	100507680
1998	3303
1272	284369
5355	5687
6629	23350
2495	10133
7916	29894
337966	100188893
5252	26148
56103	56104
55342	389421
163702	283870
5436	115653
3795	9500
1727	5349
7993	57419
2948	84966
54971	84078
2848	120939
9531	120379
10197	54819
6878	7157
7165	51099
84889	116173
23378	29997
325	2215
4215	4627
8636	11077
92840	128653
5806	8823
9022	337878
8379	285672
5175	124044
5362	8747
7316	57695
5594	8718
4085	23262
51434	246184
4629	10069
8910	22937
5355	23283
4223	23421
6302	83693
1397	5833
64601	83648
2064	80194
30011	131616
7466	23209
998	8971
3064	84936
55041	55833
23272	84851
9784	10008
2719	56980
5156	8836
1317	3985
5966	59272
51069	51258
27032	79701
7088	23462
3188	407051
10687	341208
23371	147808
6810	27309
10456	55775
1032	51274
1186	3964
7533	122060
51100	171482
23493	140462
170384	245913
10573	51073
2886	3032
55147	58517
279	3480
6770	26060
6924	8087
53820	57447
2866	10385
6166	51233
58480	143903
10567	11266
5300	5371
55860	388372
55138	158427
1017	26986
56975	79607
10047	60559
3303	154796
9877	150160
1973	10480
7534	10198
2492	8325
57658	85358
54973	55756
6047	10320
55860	90993
2059	5104
576	2695
2623	9491
2295	8858
3488	4259
64753	84461
2867	503497
11127	285973
6125	23466
10296	64795
1837	79443
5620	386675
5878	7544
6202	51081
159195	727800
64219	79837
2907	124975
3892	4956
7045	64839
4053	7565
10464	10933
79152	493869
79140	84080
5888	7486
5442	5806
857	2099
7069	51678
23317	388882
8864	79365
1741	10657
1269	387522
28227	165829
10589	10933
9611	342371
8368	10036
4000	340348
57136	84695
1795	6714
325	161003
5195	83752
8819	64092
138311	440699
80204	84063
51606	54205
7531	54882
29911	84832
2866	9173
10949	406915
11043	100529215
166	386676
57460	344558
6653	26232
7633	30008
25983	54865
10988	387911
6449	647087
51280	55138
4184	387266
6143	51081
2130	56302
22822	353323
160	6464
50619	56478
9818	51247
10772	140886
6480	23534
10138	84678
6119	26517
51324	53842
5550	6622
5770	27069
1312	79829
9134	23390
8548	55093
4129	8554
9053	26024
7697	386674
333	1601
8517	10527
675	23047
5819	9576
30850	51655
135228	404552
55248	374986
10228	81853
9729	286451
23636	200081
2248	6187
3866	53371
25840	90326
6548	63928
2887	10458
4665	8803
23583	337879
6687	125115
6582	28959
9306	84708
8985	401262
3142	122183
2993	54963
10943	84148
972	3030
488	2840
6742	139562
22908	90993
5359	5597
4163	8668
8773	8775
6355	10344
79169	494115
7710	79887
5980	11200
9167	9377
4544	23224
9022	254427
5318	55093
1469	92181
675	1783
10273	79733
55093	55791
4090	51177
84445	285093
1329	25804
93233	150684
23184	161823
6182	79152
9802	201633
1017	8517
328	130507
2010	390212
4582	10105
6687	11077
351	10120
5093	9782
493	27020
10666	29781
8797	83932
808	128153
4188	55165
1956	4915
8970	11103
51574	64848
9267	30851
83755	199834
3035	23438
409	1317
23710	161582
120071	135927
23641	64426
5058	79959
55697	337972
1485	90427
4236	6871
7706	406989
1965	727800
3824	114880
202	9791
10928	123722
3106	23170
3052	6642
2896	3087
3885	5863
6662	148327
66036	152756
5268	376132
3106	3495
351	10880
8100	92104
10491	406915
6231	6386
8338	64412
1387	54815
637	347733
4713	134701
665	10681
5634	79868
56915	84916
6950	23030
3792	79669
4363	4869
6602	254950
641	23514
7348	100130348
1024	10419
23636	440603
23619	114991
1717	3611
2342	79081
51251	55014
10841	155465
9188	10492
6302	6542
54904	246329
2801	26003
6446	10606
25972	56063
91608	91647
491	153579
60	345651
699	7040
6429	9001
1017	64773
2521	406935
56130	100507680
8655	23028
56138	56145
5706	7189
1270	57787
5708	348093
7189	60401
23585	26051
513	23371
64184	100507436
11077	170685
8440	26468
7542	221074
5867	51143
2137	5420
2019	54876
5125	80125
51545	386681
4137	10013
7432	7837
54845	406882
4089	4188
5350	136263
6013	53353
7054	403341
2487	79738
5352	202299
286410	353189
25818	347688
5866	337968
8233	29979
10220	387911
79699	84458
59	388335
472	3507
8618	23199
6769	388677
25875	255231
867	3667
7087	55049
3299	78986
6838	117246
1663	7727
4188	7341
23291	116983
10459	63939
3215	64170
92106	123722
7905	55435
240	154796
2896	149563
4832	29979
10667	100534599
1939	29925
112849	200916
166	283899
3222	222696
3009	7138
27190	55131
414236	729250
23190	54878
4110	29903
166	7681
2358	408050
2730	8764
56917	170680
5157	5535
51377	84220
2275	5777
91010	399687
4702	4724
22908	55248
1716	51440
7157	387893
4690	9757
1111	6900
57616	57763
7189	7332
2688	8192
5947	128312
8336	65095
3303	29988
8021	23636
9657	64844
5347	221545
7324	378884
388324	402682
25923	200185
53358	159195
63926	64359
6352	10850
84970	122183
3712	146664
6430	64318
10648	138803
1432	1849
10423	51124
85025	348235
9533	390212
1493	145853
372	23612
29894	406891
640	4772
6430	55173
2581	8530
7288	55034
3163	83440
3932	26191
341	134391
79767	80005
3104	84549
337882	386681
342132	386675
25804	57594
205	9817
4729	84988
9733	117246
5597	26061
79005	415117
3964	5818
64969	388569
9643	83900
7205	9230
79607	200958
963	5355
1933	7178
147007	729230
10559	135932
6582	29957
6146	7428
9240	51164
57669	127833
1936	3836
896	56904
7337	64708
595	54828
9513	22934
23040	27185
23521	54606
23371	84662
3889	85291
7980	11101
25929	54433
27040	51280
2792	4848
23583	24149
3559	79675
1072	8664
6637	253635
1979	9470
4815	6804
705	170506
23395	54988
3315	5786
104	6122
10419	114823
10490	55559
23361	374928
3850	8687
3866	57658
3972	170589
10158	222662
22934	84708
51444	81603
4001	5728
2788	284427
3655	113277
8028	84444
6154	10289
3198	8601
57338	164832
219988	406949
3009	85437
10513	10567
5359	58524
5162	55290
51069	64965
274	55689
351	51264
5970	9349
29781	203068
7852	84300
1317	10767
1656	10174
6449	81790
994	25776
3689	64211
51741	553115
4113	196441
7011	266971
7852	144404
10380	26164
7386	84706
960	84662
220988	407047
5585	146198
3885	55080
3868	9852
3710	92140
5865	6870
10992	574411
6631	6637
57215	440563
8036	8473
6911	9802
2801	9119
9527	56548
4115	64753
4854	59350
79666	114800
7311	347862
3609	9320
1460	221545
4100	25764
4005	9440
6890	337966
5814	407047
8581	57192
23450	406901
554	161424
5001	121504
114823	448834
57159	220082
10282	10462
196740	375791
6449	27242
5728	6160
4217	5608
1666	9232
57536	64170
11077	127002
5806	7130
3315	84954
969	7348
2275	84988
3358	51651
9141	55183
1968	22893
479	131870
2810	222484
6629	27336
285386	345275
9402	10253
7781	169026
2054	8675
7069	26009
23041	23632
127665	139324
8601	353140
84445	163183
51069	219927
8712	116988
9871	401546
8805	25841
8115	23518
4499	115265
4069	94235
4839	163049
2624	6929
81851	386677
3575	9936
2275	23429
10919	23243
79415	400258
23644	196513
7353	79065
6606	11157
9722	286499
51322	80124
8241	158427
4000	162968
25828	146853
2840	285636
3661	57506
55845	94134
4796	8359
3739	6303
57639	93621
3689	158067
2923	54768
7083	55558
7780	55238
10524	63943
8473	145173
2993	51434
9054	124989
26093	84058
487	27346
411	5329
79065	83941
5157	5516
6311	11097
92703	266971
8890	81493
5685	84262
2814	3321
64420	128821
1406	246176
2815	3198
5187	165545
124540	406948
3066	23411
10312	64225
84985	375791
9991	406984
56344	81833
6426	11083
22919	100310812
25894	56006
7704	55629
23623	246100
631	343099
862	8676
79022	386682
1186	55697
2512	5681
4839	6181
199	9267
4017	128817
79912	139596
3716	9098
162	2969
3735	406996
351	55841
2077	58480
4904	57109
55613	66036
5720	83990
5966	134526
1993	10002
5362	161291
57610	84246
23641	127703
56138	56144
5275	55633
1040	26266
5704	140609
5192	55800
79025	84445
55284	653145
1144	26507
57410	159371
5599	23162
5987	79696
6404	10456
10603	26525
2021	2870
10565	27074
580	57562
23007	135398
5204	10681
7321	7726
84256	202243
4121	6013
3052	3452
10432	406951
9533	55718
5590	84552
57530	144100
373	7466
25776	117177
3064	5702
7186	59269
27287	81848
8358	8805
351	146956
81493	84441
4862	9575
6640	6955
10238	388939
1417	10454
1993	4686
7316	10892
9982	55035
6758	10142
54507	84616
7010	51378
23112	192669
2957	729250
5193	7274
6839	55729
10971	221035
10133	79699
6648	10289
4697	23438
2969	64219
573	8473
1032	253639
2671	222255
7013	60626
4692	4925
6790	51129
10743	55534
5822	6188
9818	55072
10929	56001
8723	51100
5881	51123
4650	5586
54906	100996717
3030	7189
9958	55577
6645	7402
1366	7379
672	10477
10282	63908
23521	92856
857	114571
993	7534
10087	55234
6880	23301
8443	90410
5499	255057
9032	116150
8805	150280
51019	493911
201562	388588
2801	3630
54989	55506
7465	57530
5326	25959
4221	5970
11281	54902
23746	55191
56848	145741
8462	388324
10336	54880
51024	81853
10098	253558
672	9111
163081	171483
1021	23635
4184	386684
9444	55147
9883	10087
4869	7388
7321	220972
1434	7851
2335	3690
4998	8318
56475	282974
1956	6853
8345	64925
51087	91746
5129	202243
2833	9854
8544	27252
4920	84970
9110	389549
1366	10826
25	1385
6632	6636
6840	388125
2332	29903
6160	54984
5819	8013
6301	80742
6809	10424
5394	9020
596	57099
23780	493856
534	9296
8517	257397
3064	6622
23157	23580
7316	91300
4144	9641
55068	84708
9733	58491
10152	91419
3398	4739
8345	85015
32	5562
22836	93377
55704	130132
5296	219670
51763	55207
10236	407048
8335	26168
3309	10562
6277	84056
2740	132299
2859	57165
1137	1141
1609	388677
6045	26053
2182	493861
88	7273
5368	29086
9904	643836
64924	93190
10228	57467
2885	344148
9255	406996
9584	54541
10827	140885
6583	22845
5476	89858
4848	10399
1454	93986
6871	92906
137886	388324
8638	10153
622	81689
2067	125115
4622	4626
6273	80198
6727	84656
1559	9545
9158	10178
58500	386682
638	786
1039	90060
81603	165918
6774	10189
11077	50650
2099	7181
10989	66008
10794	60488
4292	54906
546	27102
54763	64147
7322	115992
6954	400581
4656	5413
8715	27243
5704	7205
163590	201158
2060	51599
5428	374291
10092	10616
63948	553115
3805	374383
274	9849
9775	613227
79072	81833
9401	54413
4619	125115
10940	83608
5987	92906
2597	3012
4163	9761
1488	10742
26060	79602
6303	55183
6629	6633
6161	339230
28989	84656
598	662
3987	4105
8440	63908
7329	54708
11311	51599
5326	64518
8290	8621
1019	11014
23303	23677
55110	388324
27340	406988
580	5888
2840	57515
56928	78987
4734	5593
3178	407007
1808	8650
8349	114825
222662	388588
4691	25873
6622	11060
9546	10010
89953	390792
51574	407044
351	10978
5682	287015
7874	9097
7434	221927
3775	10488
3065	3364
5966	8933
342574	414157
23556	51255
3241	3846
1994	100124700
27252	79741
8864	84140
5335	57648
286	169026
8161	9474
53371	93323
6329	8459
54751	64802
5702	23102
3064	221718
2134	2885
4893	79109
23542	147808
904	5813
6045	10524
6182	54148
3216	80067
4053	10793
54549	65982
1366	55273
8634	406988
5901	6613
6613	7750
25836	84553
11161	162427
7468	9277
4543	154467
5788	5790
9099	27185
351	27129
7184	284323
5830	54363
9111	374659
23201	729246
104	64969
9246	10425
54800	60468
705	22913
79643	128866
6804	9841
1390	10401
2547	7014
8881	389384
55254	79669
3842	8106
7072	10922
6901	119180
84307	157769
4842	8655
974	5140
1786	8315
114900	440051
10143	80264
1140	56928
23199	386674
3838	6514
22980	120892
7533	256364
57559	63978
7918	386681
7251	23163
7268	29110
3009	117246
8161	10611
1460	6096
6928	150483
6629	49860
5357	10069
6161	84450
28951	64326
139324	552900
51317	54801
85291	127665
9618	51160
1317	84957
351	6941
2222	84669
23002	23224
10473	54969
6242	51564
58191	375791
3937	65125
11339	126375
5147	23353
207	7189
51522	78987
4188	284058
5501	55296
11128	23645
6135	388559
881	3312
51691	256227
10013	26073
57650	64101
1785	10253
4528	51373
11077	79577
146279	337974
998	9815
22954	56893
65220	79873
9846	60684
84445	116988
8087	284565
91703	415117
57188	388677
55041	254950
57348	201158
8440	90060
2668	6855
26519	84191
2534	4868
11117	343099
152189	201158
7323	92305
5565	10107
26033	613209
8733	57348
2119	120892
148	219738
5535	5782
5966	343472
6607	26284
351	2161
4297	120892
306	7982
675	7979
10236	221092
2202	55311
10056	57147
30848	201163
51522	84708
5129	9219
2572	55143
56475	81833
8576	751071
7321	10075
25804	348093
5987	55806
3014	90637
6175	23076
8548	11120
3183	7341
1044	54882
8087	10253
9351	11164
3148	5316
3551	5578
4660	80351
3892	125115
1485	10865
3838	114824
3885	90799
7080	59272
55125	79077
2267	54888
10133	83899
9119	353288
8473	55742
71	23406
54793	60491
351	1964
8427	79970
83740	84524
57511	79025
9146	11339
3801	64599
88	283
988	7584
9416	406996
6651	51171
1742	8322
1649	3838
60672	84676
23074	85319
8468	79027
7316	64844
10137	27252
10445	11318
3312	56683
9045	9730
4780	5966
3842	5901
6767	7410
3611	9688
9463	56254
57761	84080
1088	221806
10447	29986
6583	51537
29124	201161
7481	83900
11200	51659
801	57584
489	26355
55342	407021
382	60682
256435	388633
2801	9618
11092	22929
6168	64318
7918	93166
84300	93621
9363	9474
6602	353131
54749	113026
6505	51293
84675	222255
4300	23136
8517	11074
5515	5521
1915	22803
207	5058
6653	27123
51661	286451
4038	147837
950	1176
8934	149371
203068	347688
23043	55379
6789	8945
8379	345557
10618	57189
5152	27031
3383	83851
9063	26036
84522	344892
363	9166
2203	93426
8892	284369
54741	83862
1019	3024
6045	55626
2055	10130
26011	57088
1027	4690
2326	345274
54870	113730
2801	65117
4690	5027
83606	84105
10865	54959
7805	51465
51161	81624
2802	6273
2669	51291
3981	10253
1454	5499
729	4690
491	399909
55559	359787
8548	83862
57515	64768
5653	221409
400506	407014
6217	23567
10645	135398
2719	338328
4040	58495
2436	3065
14	84708
6613	64210
1743	8760
84932	386618
22920	339344
23126	147744
3008	23299
83901	144165
5076	26035
2908	10980
337972	729240
90390	90410
140459	171483
8829	59271
367	57805
4350	55140
9698	81559
11140	140901
973	10423
11129	84528
6653	80778
3927	92595
7104	10488
506	2886
2099	79039
790	8737
5071	8517
57159	84709
11267	219409
8818	79784
6138	26168
5777	10288
351	857
6809	63908
5631	7314
4188	79637
3572	5781
7920	51661
847	1962
5961	445582
8649	91419
672	7316
6598	9274
23433	50855
7274	85294
6613	23028
1469	64794
5567	55755
5411	55884
8881	51592
5521	57447
2963	23192
5350	388633
3315	27247
80258	125115
1437	7071
27132	55611
10040	10658
867	6453
663	386681
892	23389
1796	3690
6428	51023
10001	80306
1478	353142
4218	5871
4125	26232
6733	9381
10432	406929
9922	57679
351	1238
154	158809
5879	50619
10524	22938
5518	23141
26232	57556
1894	6224
10412	728269
5868	127703
6570	10791
10322	80264
8816	55959
3836	6626
3157	112744
891	284273
269	3326
23191	118472
54830	200424
8314	8520
4734	6714
7157	728411
6598	10419
23506	729250
9790	27350
950	55353
9376	91137
1378	7358
3198	5817
51490	407021
4854	84933
5917	407041
23256	55850
64175	574033
3017	81611
25	85358
6601	6604
7159	7297
420	821
495	2823
51634	79896
5918	23060
8324	55954
6780	131034
26538	55362
27097	64881
55603	81691
129787	163702
672	8500
4188	94005
6431	9877
2204	3493
998	30846
7018	345275
6165	10291
29959	254896
23548	150572
5566	5569
1174	55096
5892	6367
672	3726
4656	80309
1478	54764
56616	200845
3198	11030
3065	23569
7917	29978
23774	79622
4205	55914
51574	406952
65992	80279
3725	7316
6293	9741
10594	55622
3009	6187
4332	10988
254122	389207
1962	9463
5311	26258
10945	55738
1762	8974
7514	8517
80124	84232
5413	89927
7919	345274
8704	24149
54865	643836
11228	25886
5208	10045
1387	1915
358	84914
5939	407050
288	9329
7533	80346
573	55249
6217	55781
6302	199857
80154	116173
165100	101928601
5087	90060
84277	255043
3431	8848
28999	79005
23479	125115
3306	55917
25828	440295
351	91010
8260	115265
8314	63893
3608	5728
6732	51265
5585	5606
7766	148206
3017	81576
7272	27334
24137	26258
7277	10870
5607	8878
3281	171484
8338	85437
25940	406984
9782	407006
6786	644186
80724	286530
84248	197407
389421	407043
10682	347741
51684	386681
7704	51177
51264	124995
2512	79008
7322	54708
27161	728378
10445	23028
10884	116225
1485	1511
3981	54840
3189	407045
23204	84641
1595	26262
7078	83440
208	80339
9463	285381
967	10162
909	1374
5196	6370
10008	144165
51343	57154
29074	51264
84766	140258
220	8239
7071	57473
1937	4152
55092	84060
1968	80317
580	5437
9046	132141
4204	23560
1506	5721
7869	448834
5631	162968
51087	51258
5563	29119
2632	2997
139322	345778
60625	84292
7186	84807
4093	5859
54765	55471
389	2688
9882	55755
9275	93426
4105	57805
2187	29089
8795	83900
9665	9931
79673	440738
7846	112770
23378	65083
705	55011
7466	79074
338	9415
2332	260425
29947	100188776
5362	6768
10600	84461
1665	57662
347688	347862
79862	91404
6840	317772
79807	116449
25822	140564
1025	27125
4110	23403
9855	84249
6433	7536
51363	83444
7718	9135
3885	7545
3337	51177
8473	10575
57575	84236
9410	10078
55138	145282
81608	406891
2010	199953
22985	55216
10073	11218
56899	57091
9146	80817
64769	151254
1111	8914
54763	151011
274	8976
79892	284467
60561	79169
5360	79630
7082	8531
2703	9570
65005	171483
204	348
84078	84324
9055	9493
4037	57520
10524	80314
79836	442247
9044	10870
7428	11021
8087	11332
124790	284040
1144	6443
7555	25873
54507	83900
3104	5997
189	51225
1387	3212
6583	8501
2045	4059
9014	10360
56852	116138
375307	386675
23505	51092
55183	55334
10597	22878
10419	23136
29889	341567
51409	374291
23450	574032
5711	5714
8676	10490
3635	386675
